Date,Bond Value
2008-10-01,10000.0
2008-11-01,10388.24
2008-12-01,10512.99
2009-01-01,10386.14
2009-02-01,10468.25
2009-03-01,10598.84
2009-04-01,10669.13
2009-05-01,10530.15
2009-06-01,10662.24
2009-07-01,10861.72
2009-08-01,10909.96
2009-09-01,10979.81
2009-10-01,10988.14
2009-11-01,11062.29
2009-12-01,10967.51
2010-01-01,11018.42
2010-02-01,11149.68
2010-03-01,11224.19
2010-04-01,11150.5
2010-05-01,11317.89
2010-06-01,11235.8
2010-07-01,11338.5
2010-08-01,11643.14
2010-09-01,11504.27
2010-10-01,11442.02
2010-11-01,11147.44
2010-12-01,11099.39
2011-01-01,11034.34
2011-02-01,11032.63
2011-03-01,10965.66
2011-04-01,11001.22
2011-05-01,11136.74
2011-06-01,11094.74
2011-07-01,11099.83
2011-08-01,11440.25
2011-09-01,11536.04
2011-10-01,11313.11
2011-11-01,11051.75
2011-12-01,11506.07
2012-01-01,11696.41
2012-02-01,11903.77
2012-03-01,11908.07
2012-04-01,11880.96
2012-05-01,12044.57
2012-06-01,11925.67
2012-07-01,12123.56
2012-08-01,12211.95
2012-09-01,12358.31
2012-10-01,12447.73
2012-11-01,12629.89
2012-12-01,12729.45
2013-01-01,12654.24
2013-02-01,12679.97
2013-03-01,12764.6
2013-04-01,13094.07
2013-05-01,12920.86
2013-06-01,12727.15
2013-07-01,12820.83
2013-08-01,12752.65
2013-09-01,12846.619999999995
2013-10-01,13031.84
2013-11-01,13073.23
2013-12-01,12995.4
2014-01-01,13286.429999999998
2014-02-01,13372.72
2014-03-01,13498.070000000002
2014-04-01,13633.35
2014-05-01,13765.81
2014-06-01,13916.17
2014-07-01,14047.6
2014-08-01,14315.73
2014-09-01,14327.11
2014-10-01,14365.75
2014-11-01,14566.92
2014-12-01,14733.63
2015-01-01,15072.15
2015-02-01,15180.97
2015-03-01,15370.88
2015-04-01,15147.26
2015-05-01,14913.45
2015-06-01,14528.33
2015-07-01,14868.99
2015-08-01,14708.24
2015-09-01,14907.22
2015-10-01,15053.53
2015-11-01,15128.27
2015-12-01,14978.99
2016-01-01,15275.89
2016-02-01,15423.83
2016-03-01,15502.45
2016-04-01,15319.6
2016-05-01,15480.350000000002
2016-06-01,15847.4
2016-07-01,15970.56
2016-08-01,15917.01
2016-09-01,15953.24
2016-10-01,15603.43
2016-11-01,15358.96
2016-12-01,15465.41
2017-01-01,15139.62
2017-02-01,15319.220000000005
2017-03-01,15227.84
2017-04-01,15308.54
2017-05-01,15393.6
2017-06-01,15311.66
2017-07-01,15344.18
2017-08-01,15475.91
2017-09-01,15401.21
2017-10-01,15572.98
2017-11-01,15622.9
2017-12-01,15488.41
2018-01-01,15428.28
2018-02-01,15461.49
2018-03-01,15712.18
2018-04-01,15650.86
2018-05-01,15458.009999999998
2018-06-01,15575.980000000003
2018-07-01,15515.14
2018-08-01,15428.75
2018-09-01,15405.91
2018-10-01,15398.7
2018-11-01,15491.11
2018-12-01,15635.140000000005
2019-01-01,15810.12
2019-02-01,15749.6
2019-03-01,16035.5
2019-04-01,16031.5
2019-05-01,16209.41
2019-06-01,16582.27
2019-07-01,16868.14
2019-08-01,17287.56
2019-09-01,17219.01
2019-10-01,17022.52
2019-11-01,16866.87
2019-12-01,16720.64
2020-01-01,17121.74
2020-02-01,17205.22
2020-03-01,16755.78
2020-04-01,16849.440000000002
2020-05-01,16883.97
2020-06-01,17056.16
2020-07-01,17240.629999999997
2020-08-01,17101.67
2020-09-01,17348.88
2020-10-01,17523.97
2020-11-01,17545.72
2020-12-01,17581.36
2021-01-01,17459.62
